Customer ID,Recency,Frequency,Monetary,customer_age_days,days_between_purchases,orders_last_30d,orders_last_90d,avg_order_value,max_order_value,min_order_value,std_order_value,product_diversity,repeat_purchase_rate,avg_basket_size,total_items_bought,is_weekend,hour,spending_increasing,Cluster
13085.0,67,8,2433.2799999999997,581,72.625,0,1,304.16,505.3,137.98000000000002,153.57729817354422,50,0.40476190476190477,118.0,944,0.0,11,0,2
13078.0,16,46,23821.660000000003,632,13.73913043478261,2,5,517.8621739130436,1028.78,102.0,197.58204258161885,141,0.7977044476327116,196.80434782608697,9053,0.10903873744619799,9,0,0
15362.0,358,2,613.0799999999999,290,145.0,0,0,306.53999999999996,310.75,302.33,5.953839097590741,38,0.050000000000000044,184.0,368,0.0,9,1,3
18102.0,8,112,484615.1000000001,640,5.714285714285714,1,10,4326.9205357142855,31770.98,6.8,5687.190396650587,311,0.6063291139240506,1390.080357142857,155689,0.021518987341772152,11,1,0
12682.0,10,40,18039.61,638,15.95,3,9,450.99025,1298.1,81.6,239.28441905502328,280,0.6622436670687575,221.675,8867,0.04825090470446321,13,0,0
18087.0,200,16,13908.72,448,28.0,0,0,869.295,5737.32,50.4,1506.5496298053597,43,0.5057471264367817,485.875,7774,0.0,9,1,0
13635.0,352,3,1928.13,296,98.66666666666667,0,0,642.71,1130.98,382.37,423.16462127640114,89,0.10999999999999999,402.3333333333333,1207,0.0,10,0,2
14110.0,28,26,10564.42,619,23.807692307692307,1,3,406.32384615384615,904.26,63.5,209.30844000330083,154,0.5549132947976878,189.0,4914,0.1416184971098266,11,1,0
17519.0,43,14,4753.450000000001,605,43.214285714285715,0,2,339.53214285714284,670.6,200.5,104.57121873327593,133,0.3543689320388349,230.0,3220,0.10679611650485436,10,0,0
13758.0,110,12,8475.11,537,44.75,0,0,706.2591666666667,1025.87,316.90000000000003,226.03640291930182,198,0.3076923076923077,393.0,4716,0.2762237762237762,12,0,0
15413.0,601,5,6798.72,47,9.4,0,0,1359.7440000000001,2442.7200000000003,570.24,753.9133175836597,20,0.19999999999999996,538.8,2694,0.36,13,0,2
16321.0,214,5,454.55000000000007,433,86.6,0,0,90.91,196.10000000000002,34.8,61.80124796474583,14,0.26315789473684215,37.4,187,0.0,10,1,3
16167.0,323,5,1386.1200000000001,324,64.8,0,0,277.224,485.79,35.6,181.5008341027666,51,0.19047619047619047,298.8,1494,0.0,17,0,2
17865.0,17,38,22863.31,631,16.605263157894736,3,5,601.6660526315791,1563.65,11.9,402.0191730505069,353,0.6108048511576627,283.1578947368421,10760,0.044101433296582136,14,1,0
17592.0,648,1,148.3,0,0.0,0,0,148.3,148.3,148.3,0.0,13,0.0,38.0,38,0.0,10,0,1
13767.0,18,64,27996.54,629,9.828125,1,6,437.4459375,1612.5600000000002,13.919999999999998,287.7126209981878,113,0.8403954802259888,185.09375,11846,0.153954802259887,12,0,0
17238.0,45,26,5997.870000000001,602,23.153846153846153,0,2,230.68730769230768,594.01,3.4,139.26080302964485,417,0.5850746268656717,107.92307692307692,2806,0.0,15,0,0
15712.0,19,10,3166.3599999999997,629,62.9,1,1,316.636,635.85,158.85,127.18678986260939,79,0.487012987012987,116.2,1162,0.23376623376623376,11,0,0
15311.0,3,181,101863.74,644,3.5580110497237567,5,20,562.7830939226519,2938.35,5.0,557.4022912875374,778,0.7940164151442944,343.0110497237569,62085,0.04183214191157003,13,0,0
16329.0,337,4,1703.0700000000002,311,77.75,0,0,425.7674999999999,554.62,282.46000000000004,114.1185989442562,83,0.27826086956521734,206.5,826,0.0,14,1,2
17700.0,4,13,5827.16,643,49.46153846153846,1,1,448.2430769230769,696.73,17.700000000000003,176.50654404226376,227,0.27243589743589747,232.92307692307693,3028,0.0,13,1,0
14911.0,2,289,222730.59,645,2.2318339100346023,14,46,770.6940830449827,4623.34,1.45,719.6193652221398,2180,0.7437705688763516,391.62629757785464,113180,0.08674188998589563,12,1,0
15998.0,81,14,7330.43,566,40.42857142857143,0,1,523.6021428571429,918.83,10.14,249.4695135121284,614,0.5172955974842768,336.35714285714283,4709,0.19418238993710693,12,1,0
12931.0,11,53,82822.08,637,12.018867924528301,2,4,1562.6807547169813,18841.48,33.0,3052.2244511458357,37,0.8112244897959184,1062.0,56286,0.01020408163265306,8,1,0
